 t(days)  x(AU)      y(AU)      z(AU)     vx(KPS)   vy(KPS)     vz(KPS)
 ------------------------------------------------------------------------
  0.00  0.9832898  0.0000000  0.0000000   0.000000  30.283429   0.000000
  0.04  0.9832895  0.0007288  0.0000000  -0.022077  30.283421   0.000000
  0.08  0.9832887  0.0014575  0.0000000  -0.044154  30.283396   0.000000
  0.12  0.9832874  0.0021863  0.0000000  -0.066230  30.283355   0.000000
  0.17  0.9832855  0.0029150  0.0000000  -0.088307  30.283298   0.000000
  0.21  0.9832831  0.0036438  0.0000000  -0.110384  30.283224   0.000000
  0.25  0.9832802  0.0043725  0.0000000  -0.132460  30.283134   0.000000
  0.29  0.9832768  0.0051013  0.0000000  -0.154537  30.283028   0.000000
  0.33  0.9832728  0.0058300  0.0000000  -0.176613  30.282905   0.000000
  0.38  0.9832683  0.0065588  0.0000000  -0.198690  30.282766   0.000000
  0.42  0.9832632  0.0072875  0.0000000  -0.220766  30.282611   0.000000
  0.46  0.9832576  0.0080162  0.0000000  -0.242842  30.282439   0.000000
  0.50  0.9832515  0.0087450  0.0000000  -0.264918  30.282251   0.000000
  0.54  0.9832449  0.0094737  0.0000000  -0.286994  30.282046   0.000000
  0.58  0.9832377  0.0102024  0.0000000  -0.309070  30.281826   0.000000
  0.62  0.9832300  0.0109311  0.0000000  -0.331145  30.281588   0.000000
  0.67  0.9832218  0.0116598  0.0000000  -0.353220  30.281335   0.000000
  0.71  0.9832130  0.0123885  0.0000000  -0.375295  30.281065   0.000000
  0.75  0.9832037  0.0131172  0.0000000  -0.397370  30.280778   0.000000
  0.79  0.9831939  0.0138459  0.0000000  -0.419445  30.280476   0.000000
  0.83  0.9831835  0.0145746  0.0000000  -0.441519  30.280157   0.000000
  0.88  0.9831726  0.0153033  0.0000000  -0.463594  30.279821   0.000000
  0.92  0.9831612  0.0160319  0.0000000  -0.485667  30.279469   0.000000
  0.96  0.9831493  0.0167606  0.0000000  -0.507741  30.279101   0.000000
  1.00  0.9831368  0.0174892  0.0000000  -0.529814  30.278717   0.000000
  1.04  0.9831238  0.0182179  0.0000000  -0.551887  30.278316   0.000000
  1.08  0.9831102  0.0189465  0.0000000  -0.573960  30.277899   0.000000
  1.12  0.9830961  0.0196751  0.0000000  -0.596033  30.277465   0.000000
  1.17  0.9830815  0.0204037  0.0000000  -0.618105  30.277015   0.000000
  1.21  0.9830664  0.0211323  0.0000000  -0.640176  30.276549   0.000000
  1.25  0.9830507  0.0218609  0.0000000  -0.662248  30.276066   0.000000
  1.29  0.9830345  0.0225895  0.0000000  -0.684319  30.275567   0.000000
  1.33  0.9830178  0.0233180  0.0000000  -0.706389  30.275052   0.000000
  1.38  0.9830005  0.0240466  0.0000000  -0.728459  30.274520   0.000000
  1.42  0.9829827  0.0247751  0.0000000  -0.750529  30.273972   0.000000
  1.46  0.9829644  0.0255036  0.0000000  -0.772599  30.273408   0.000000
  1.50  0.9829455  0.0262322  0.0000000  -0.794668  30.272827   0.000000
  1.54  0.9829262  0.0269606  0.0000000  -0.816736  30.272230   0.000000
  1.58  0.9829062  0.0276891  0.0000000  -0.838804  30.271616   0.000000
  1.62  0.9828858  0.0284176  0.0000000  -0.860872  30.270987   0.000000
  1.67  0.9828648  0.0291460  0.0000000  -0.882939  30.270340   0.000000
  1.71  0.9828433  0.0298745  0.0000000  -0.905005  30.269678   0.000000
  1.75  0.9828212  0.0306029  0.0000000  -0.927071  30.268999   0.000000
  1.79  0.9827987  0.0313313  0.0000000  -0.949137  30.268304   0.000000
  1.83  0.9827756  0.0320597  0.0000000  -0.971202  30.267592   0.000000
  1.88  0.9827519  0.0327880  0.0000000  -0.993266  30.266864   0.000000
  1.92  0.9827278  0.0335164  0.0000000  -1.015330  30.266120   0.000000
  1.96  0.9827031  0.0342447  0.0000000  -1.037393  30.265359   0.000000
  2.00  0.9826778  0.0349730  0.0000000  -1.059456  30.264582   0.000000
  2.04  0.9826521  0.0357013  0.0000000  -1.081518  30.263789   0.000000
  2.08  0.9826258  0.0364296  0.0000000  -1.103579  30.262979   0.000000
  2.12  0.9825990  0.0371579  0.0000000  -1.125640  30.262153   0.000000
  2.17  0.9825716  0.0378861  0.0000000  -1.147700  30.261311   0.000000
  2.21  0.9825437  0.0386143  0.0000000  -1.169760  30.260452   0.000000
  2.25  0.9825153  0.0393425  0.0000000  -1.191819  30.259577   0.000000
  2.29  0.9824864  0.0400707  0.0000000  -1.213877  30.258685   0.000000
  2.33  0.9824569  0.0407988  0.0000000  -1.235934  30.257778   0.000000
  2.38  0.9824269  0.0415269  0.0000000  -1.257991  30.256853   0.000000
  2.42  0.9823963  0.0422550  0.0000000  -1.280047  30.255913   0.000000
  2.46  0.9823653  0.0429831  0.0000000  -1.302103  30.254956   0.000000
  2.50  0.9823337  0.0437112  0.0000000  -1.324157  30.253983   0.000000
  2.54  0.9823015  0.0444392  0.0000000  -1.346211  30.252993   0.000000
  2.58  0.9822689  0.0451672  0.0000000  -1.368264  30.251987   0.000000
  2.62  0.9822357  0.0458952  0.0000000  -1.390317  30.250965   0.000000
  2.67  0.9822020  0.0466232  0.0000000  -1.412368  30.249927   0.000000
  2.71  0.9821677  0.0473511  0.0000000  -1.434419  30.248872   0.000000
  2.75  0.9821329  0.0480790  0.0000000  -1.456469  30.247801   0.000000
  2.79  0.9820976  0.0488069  0.0000000  -1.478518  30.246713   0.000000
  2.83  0.9820618  0.0495348  0.0000000  -1.500566  30.245609   0.000000
  2.88  0.9820254  0.0502626  0.0000000  -1.522614  30.244489   0.000000
  2.92  0.9819885  0.0509904  0.0000000  -1.544660  30.243352   0.000000
  2.96  0.9819510  0.0517182  0.0000000  -1.566706  30.242199   0.000000
  3.00  0.9819131  0.0524459  0.0000000  -1.588751  30.241030   0.000000
  3.04  0.9818746  0.0531737  0.0000000  -1.610795  30.239844   0.000000
  3.08  0.9818355  0.0539014  0.0000000  -1.632838  30.238642   0.000000
  3.12  0.9817960  0.0546290  0.0000000  -1.654880  30.237424   0.000000
  3.17  0.9817559  0.0553567  0.0000000  -1.676921  30.236190   0.000000
  3.21  0.9817153  0.0560843  0.0000000  -1.698961  30.234939   0.000000
  3.25  0.9816741  0.0568118  0.0000000  -1.721000  30.233671   0.000000
  3.29  0.9816324  0.0575394  0.0000000  -1.743039  30.232388   0.000000
  3.33  0.9815902  0.0582669  0.0000000  -1.765076  30.231088   0.000000
  3.38  0.9815475  0.0589944  0.0000000  -1.787112  30.229772   0.000000
  3.42  0.9815042  0.0597218  0.0000000  -1.809147  30.228439   0.000000
  3.46  0.9814604  0.0604492  0.0000000  -1.831181  30.227090   0.000000
  3.50  0.9814161  0.0611766  0.0000000  -1.853215  30.225725   0.000000
  3.54  0.9813712  0.0619040  0.0000000  -1.875247  30.224343   0.000000
  3.58  0.9813258  0.0626313  0.0000000  -1.897278  30.222945   0.000000
  3.62  0.9812799  0.0633586  0.0000000  -1.919308  30.221531   0.000000
  3.67  0.9812335  0.0640858  0.0000000  -1.941337  30.220101   0.000000
  3.71  0.9811865  0.0648130  0.0000000  -1.963364  30.218654   0.000000
  3.75  0.9811390  0.0655402  0.0000000  -1.985391  30.217191   0.000000
  3.79  0.9810909  0.0662674  0.0000000  -2.007417  30.215711   0.000000
  3.83  0.9810424  0.0669945  0.0000000  -2.029441  30.214215   0.000000
  3.88  0.9809933  0.0677215  0.0000000  -2.051464  30.212703   0.000000
  3.92  0.9809436  0.0684486  0.0000000  -2.073486  30.211175   0.000000
  3.96  0.9808935  0.0691756  0.0000000  -2.095507  30.209630   0.000000
  4.00  0.9808428  0.0699025  0.0000000  -2.117527  30.208069   0.000000
  4.04  0.9807915  0.0706295  0.0000000  -2.139546  30.206491   0.000000
  4.08  0.9807398  0.0713563  0.0000000  -2.161563  30.204898   0.000000
  4.12  0.9806875  0.0720832  0.0000000  -2.183579  30.203288   0.000000
  4.17  0.9806347  0.0728100  0.0000000  -2.205594  30.201661   0.000000
  4.21  0.9805814  0.0735368  0.0000000  -2.227607  30.200019   0.000000
  4.25  0.9805275  0.0742635  0.0000000  -2.249620  30.198360   0.000000
  4.29  0.9804731  0.0749902  0.0000000  -2.271631  30.196684   0.000000
  4.33  0.9804182  0.0757168  0.0000000  -2.293641  30.194993   0.000000
  4.38  0.9803627  0.0764434  0.0000000  -2.315649  30.193285   0.000000
  4.42  0.9803067  0.0771700  0.0000000  -2.337656  30.191561   0.000000
  4.46  0.9802502  0.0778965  0.0000000  -2.359662  30.189820   0.000000
  4.50  0.9801931  0.0786230  0.0000000  -2.381666  30.188063   0.000000
  4.54  0.9801356  0.0793494  0.0000000  -2.403670  30.186290   0.000000
  4.58  0.9800774  0.0800758  0.0000000  -2.425671  30.184501   0.000000
  4.62  0.9800188  0.0808022  0.0000000  -2.447672  30.182695   0.000000
  4.67  0.9799596  0.0815285  0.0000000  -2.469671  30.180873   0.000000
  4.71  0.9798999  0.0822548  0.0000000  -2.491668  30.179035   0.000000
  4.75  0.9798397  0.0829810  0.0000000  -2.513665  30.177180   0.000000
  4.79  0.9797790  0.0837072  0.0000000  -2.535659  30.175309   0.000000
  4.83  0.9797177  0.0844333  0.0000000  -2.557653  30.173422   0.000000
  4.88  0.9796559  0.0851594  0.0000000  -2.579645  30.171518   0.000000
  4.92  0.9795935  0.0858854  0.0000000  -2.601635  30.169599   0.000000
  4.96  0.9795307  0.0866114  0.0000000  -2.623624  30.167663   0.000000
  5.00  0.9794673  0.0873374  0.0000000  -2.645611  30.165710   0.000000
  5.04  0.9794033  0.0880633  0.0000000  -2.667597  30.163741   0.000000
  5.08  0.9793389  0.0887891  0.0000000  -2.689582  30.161757   0.000000
  5.12  0.9792739  0.0895149  0.0000000  -2.711565  30.159755   0.000000
  5.17  0.9792084  0.0902407  0.0000000  -2.733546  30.157738   0.000000
  5.21  0.9791423  0.0909664  0.0000000  -2.755526  30.155704   0.000000
  5.25  0.9790757  0.0916920  0.0000000  -2.777504  30.153654   0.000000
  5.29  0.9790086  0.0924177  0.0000000  -2.799481  30.151587   0.000000
  5.33  0.9789410  0.0931432  0.0000000  -2.821456  30.149505   0.000000
  5.38  0.9788728  0.0938687  0.0000000  -2.843430  30.147406   0.000000
  5.42  0.9788042  0.0945942  0.0000000  -2.865401  30.145291   0.000000
  5.46  0.9787349  0.0953196  0.0000000  -2.887372  30.143159   0.000000
  5.50  0.9786652  0.0960449  0.0000000  -2.909340  30.141011   0.000000
  5.54  0.9785949  0.0967702  0.0000000  -2.931307  30.138847   0.000000
  5.58  0.9785241  0.0974955  0.0000000  -2.953273  30.136667   0.000000
  5.62  0.9784528  0.0982207  0.0000000  -2.975236  30.134471   0.000000
  5.67  0.9783809  0.0989458  0.0000000  -2.997198  30.132258   0.000000
  5.71  0.9783085  0.0996709  0.0000000  -3.019159  30.130029   0.000000
  5.75  0.9782356  0.1003960  0.0000000  -3.041117  30.127783   0.000000
